time,in_park,in_pass,events
2025-10-29 23:12:47,0,0,
2025-10-29 23:13:17,0,0,
2025-10-29 23:13:27,0,0,
2025-10-29 23:13:37,0,0,
2025-10-29 23:13:47,0,0,
2025-10-29 23:14:48,0,0,
2025-10-29 23:16:02,0,0,
2025-10-29 23:16:34,0,0,
2025-10-29 23:16:44,0,0,
2025-10-29 23:16:54,0,0,
2025-10-29 23:17:48,0,0,
2025-10-29 23:17:58,0,0,
2025-10-29 23:18:08,0,0,
2025-10-29 23:19:41,0,0,
2025-10-29 23:19:51,0,0,
2025-10-29 23:20:01,0,0,
2025-10-29 23:20:11,0,0,
2025-10-29 23:20:21,0,0,
2025-10-29 23:20:31,0,0,
2025-10-29 23:20:41,0,0,
2025-10-29 23:20:51,0,0,
2025-10-29 23:21:01,0,0,
2025-10-29 23:21:11,0,0,
2025-10-29 23:21:21,0,0,
2025-10-29 23:21:31,0,0,
2025-10-29 23:21:41,0,0,
2025-10-29 23:21:51,0,0,
2025-10-29 23:22:01,0,0,
2025-10-29 23:22:11,0,0,
2025-10-29 23:22:21,0,0,
2025-10-29 23:22:31,0,0,
2025-10-29 23:22:41,0,0,
2025-10-29 23:22:51,0,0,
2025-10-29 23:23:01,0,0,
2025-10-29 23:23:11,0,0,
2025-10-29 23:23:21,0,0,
2025-10-29 23:23:31,0,0,
2025-10-29 23:23:41,0,0,
2025-10-29 23:23:51,0,0,
2025-10-29 23:24:01,0,0,
2025-10-29 23:24:11,0,0,
2025-10-29 23:24:21,0,0,
2025-10-29 23:24:31,0,0,
2025-10-29 23:24:41,0,0,
2025-10-29 23:24:51,0,0,
2025-10-29 23:25:01,0,0,
2025-10-29 23:26:36,0,0,
2025-10-29 23:26:46,0,0,
2025-10-29 23:27:23,0,0,
2025-10-29 23:27:33,0,0,
2025-10-29 23:27:43,0,0,
2025-10-29 23:27:53,0,0,
2025-10-29 23:28:03,0,0,
2025-10-29 23:28:13,0,0,
2025-10-29 23:28:23,0,0,
2025-10-29 23:28:33,0,0,
2025-10-29 23:28:43,0,0,
2025-10-29 23:28:53,0,0,
2025-10-29 23:42:04,0,0,
2025-10-29 23:42:14,0,0,
2025-10-29 23:42:24,0,0,
2025-10-29 23:44:05,0,0,
2025-10-29 23:44:15,0,0,
2025-10-29 23:44:25,0,0,
2025-10-29 23:44:35,0,0,
2025-10-29 23:44:45,0,0,
2025-10-29 23:44:55,0,0,
2025-10-29 23:45:05,0,0,
2025-10-29 23:45:15,0,0,
2025-10-29 23:45:25,0,0,
2025-10-29 23:49:44,0,0,
2025-10-29 23:49:54,0,0,
2025-10-29 23:50:04,0,0,
2025-10-29 23:50:14,0,0,
2025-10-29 23:50:24,0,0,
2025-10-29 23:50:34,0,0,
2025-10-29 23:50:44,0,0,
2025-10-29 23:50:54,0,0,
2025-10-29 23:59:01,0,0,
2025-10-29 23:59:11,0,0,
2025-10-29 23:59:21,0,0,
2025-10-29 23:59:31,0,0,
2025-10-29 23:59:41,0,0,
2025-10-29 23:59:51,0,0,
2025-10-30 00:00:52,0,0,
2025-10-30 00:01:02,0,0,
2025-10-30 00:01:12,0,0,
2025-10-30 00:01:22,0,0,
2025-10-30 12:33:07,0,0,
2025-10-30 12:33:17,0,0,
2025-10-30 12:55:40,0,0,
2025-10-30 12:55:50,0,0,
2025-10-30 12:56:00,0,0,
2025-10-30 12:56:10,0,0,
2025-10-30 12:56:20,0,0,
2025-10-30 12:56:30,0,0,
2025-10-30 12:56:40,0,0,
2025-10-30 12:56:50,0,0,
2025-10-30 12:57:00,0,0,
2025-10-30 12:57:42,0,0,
2025-10-30 12:57:52,0,0,
2025-10-30 12:58:02,0,0,
2025-10-30 12:58:12,0,0,
2025-10-30 12:58:22,0,0,
2025-10-30 12:58:32,0,0,
2025-10-30 12:58:42,0,0,
2025-10-30 13:11:53,0,0,
2025-10-30 13:18:14,0,0,
2025-10-30 13:18:24,0,0,
2025-10-30 13:18:34,0,0,
2025-10-30 13:18:44,0,0,
2025-10-30 13:18:54,0,0,
2025-10-30 13:19:04,0,0,
2025-10-30 13:19:14,0,0,
2025-10-30 13:19:24,0,0,
2025-10-30 13:19:34,0,0,
2025-10-30 13:19:44,0,0,
2025-10-30 13:19:54,0,0,
2025-10-30 13:20:04,0,0,
2025-10-30 13:20:14,0,0,
2025-10-30 13:20:24,0,0,
2025-10-30 13:21:08,0,0,
2025-10-30 13:23:16,0,0,
2025-10-30 13:25:24,0,0,
2025-10-30 13:25:34,0,0,
2025-10-30 13:26:35,0,0,
2025-10-30 13:26:45,0,0,
2025-10-30 13:26:55,0,0,
2025-10-30 13:31:58,0,0,
2025-10-30 13:32:53,0,0,
2025-10-30 13:33:03,0,0,
2025-10-30 13:39:59,0,0,
2025-10-30 13:40:09,0,0,
2025-10-30 13:40:19,0,0,
2025-10-30 13:40:29,0,0,
2025-10-30 13:40:39,0,0,
2025-10-30 13:40:49,0,0,
2025-10-30 13:40:59,0,0,
2025-10-30 13:41:09,0,0,
2025-10-30 13:41:19,0,0,
2025-10-30 13:41:29,0,0,
2025-10-30 13:41:39,0,0,
2025-10-30 13:41:49,0,0,
2025-10-30 13:41:59,0,0,
2025-10-30 13:42:09,0,0,
2025-10-30 13:42:19,0,0,
2025-10-30 13:42:29,0,0,
2025-10-30 13:42:39,0,0,
2025-10-30 13:48:36,0,0,
2025-10-30 13:48:46,0,0,
2025-10-30 14:09:36,0,0,
2025-10-30 14:09:46,0,0,
2025-10-30 14:09:56,0,0,
2025-10-30 14:10:06,0,0,
2025-10-30 14:10:16,0,0,
2025-10-30 14:10:26,0,0,
2025-10-30 14:10:36,0,0,
2025-10-30 14:10:46,0,0,
2025-10-30 14:10:56,0,0,
2025-10-30 14:11:06,0,0,
2025-10-30 14:11:16,0,0,
2025-10-30 14:11:26,0,0,
2025-10-30 14:11:36,0,0,
2025-10-30 14:11:46,0,0,
2025-10-30 14:11:56,0,0,
2025-10-30 14:12:06,0,0,
2025-10-30 14:12:16,0,0,
2025-10-30 14:12:26,0,0,
2025-10-30 14:12:36,0,0,
2025-10-30 14:12:46,0,0,
2025-10-30 14:12:56,0,0,
2025-10-30 14:13:06,0,0,
